"obs","Comments","time..2","elapsed","date","hhmmss","averaging","id","machine","TIME..9","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd/dt","αVc","Edyn","Hr","Hs","dHs/dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME..59","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","ΔCO2","CO2_s_d","CO2_r_d","ΔH2O","CO2_b","H2O_b","e_s","e_r","Td_s","Td_r","Q","f_red","f_blue","f_farred","F","Q_modavg","F_dc","Pc","Tled","TDigital","TPreamp","TPwrSpy","TDrive","Q_red","Q_blue","Q_farred","TSPF","state","time..105","hhmmss..106","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","ΔCO2:MN","ΔCO2:SLP","ΔCO2:SD","ΔCO2:OK","ΔH2O:MN","ΔH2O:SLP","ΔH2O:SD","ΔH2O:OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","Tleaf_j","Tleaf2_j","Console_RH","Console_T","Console_H2O","Fan_%","Flow_%","Pump","Tchp_pwm","Txchg_pwm","diag_20v","diag_5_4v","diag_12v","diag_5va","diag_3_3vf","AccCO2_soda","AccH2O_des","AccH2O_hum","CO2_hrs","ADC_CH1","ADC_CH2","ADC_CH3","ADC_CH4","ADC_CH5","ADC_CH6","ADC_CH7","ADC_CH8","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_%","Desiccant_%","Humidifier_%","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
NA,"Stability Definition:	ΔCO2 (Meas2): Slp<0.1 Per=20	ΔH2O (Meas2): Slp<0.1 Per=20",NA,NA,NA,06:29:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,1655210048.5,0,2022-06-14 07:34:08,07:34:08,5,"tmpl.us_block1_plot1_schiz","stan",1655211653.04833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.242279287942,428.427212121212,2.04167765739769e-05,66.1190884114043,0,26.0506241880857,26.3974327272727,-3.15909457267054e-06,78.9274245476231,0,0,0,0,0,0,0,0,0,6,0.5,"0: Broadleaf",2,TRUE,1655211653.04833,419.596601744186,419.995192587209,26.4387900436047,25.553638372093,422.264713662791,26.5595400436046,500.478275436046,99.3893441133721,0.095266082630814,33.6835441860465,33.8048757267442,999.9,0,0,10000.315065407,0,241.024005305233,-0.398609587936047,431.00036627907,431.009125726744,0.885151273982558,419.995192587209,25.553638372093,2.62773333575581,2.53976212209302,21.837895130814,21.2815904069768,2000.00053052326,0.980001279069768,0.0199990353924419,0,2.13044236918605,0,22532.5940697674,16749.4719476744,39.1904171511628,39.5635327034884,39.0221002906977,38.868167877907,38.9311867732558,1960.00364098837,39.9974127906977,0,1655210048.6,0,0,"--:--:--",1652897032.6,1652897049.6,0,1.119,-0.094,-0.487,-0.164,297,21,0.14,0.02,-0.451911525631769,-0.00558555404531681,19.8445169951632,1,0.887477527075812,0.00015518299688823,0.665257911109667,1,2,2,"2/2",2.97997,2.70606,0.102889,0.101974,0.125291,0.121626,28362.2,28489.3,29398.7,29349.2,34069.8,34230.3,41423.6,41795.7,1.9551,2.01875,0.148144,0,31.5902,999.9,72.8,28.5,28.6138,63.0004,32.1314,1,0.120399,-1.4613,20.3758,5.22178,12.0099,4.98975,3.28903,3433.4,9999,9999,63.4,1.86707,1.86611,1.86567,1.86554,1.86737,1.86994,1.86856,1.86995,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.661,-0.121,-1.34389139395809,-0.00341013826112031,7.03834037804736e-07,-1.32224133736951e-10,-0.120925268574536,0,0,0,16,2250,2,26,38550.3,38550,1.0376,2.21313,1.39771,2.30347,1.49536,2.28027,33.2887,15.892,18,512.118,540.828,33.4413,29.0189,30.0004,28.7876,28.673,20.7847,12.1713,100,33.4445,413.312,25.9916,100.553,100.406
2,NA,1655210053.5,5,2022-06-14 07:34:13,07:34:13,5,"tmpl.us_block1_plot1_schiz","stan",1655211642.63791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.181498016155,428.335884848485,-0.0306256310883686,66.1190884114043,0,26.0537677588696,26.3975042424242,1.69486929330403e-06,78.9274245476231,0,0,0,0,0,0,0,0,0,6,0.5,"0: Broadleaf",2,TRUE,1655211642.63791,419.580389891697,419.991884476534,26.4385229602888,25.5568896750903,422.248457039711,26.5592739350181,500.476916245487,99.3894189891697,0.0952954863537906,33.6826742238267,33.8060477978339,999.9,0,0,10000.3302382671,0,241.289555451264,-0.411511763898917,430.983540072202,431.007166064982,0.881632766064982,419.991884476534,25.5568896750903,2.62770875812274,2.54008719855596,21.8377558844765,21.2836728519856,2000.00097472924,0.980001307581228,0.0199990074368231,0,2.13088953068592,0,22430.0867075812,16749.4759566787,39.1923379061372,39.5655566787004,39.0239841155235,38.8702397111913,38.9328490974729,1960.0041299639,39.9973646209386,0,1655210053.4,0,0,"--:--:--",1652897032.6,1652897049.6,0,1.119,-0.094,-0.487,-0.164,297,21,0.14,0.02,-0.466533553084648,-0.00557562711157344,19.7811943276773,1,0.883969116929699,0.00015734323623764,0.664533651936738,1,2,2,"2/2",2.98027,2.70607,0.102857,0.101481,0.12529,0.12163,28363.1,28505,29398.6,29349.2,34069.9,34230.1,41423.8,41795.7,1.95535,2.0186,0.147097,0,31.5875,999.9,72.8,28.5,28.6121,63.3104,32.2236,1,0.12063,-1.65239,20.3734,5.21804,12.0099,4.9888,3.28853,3433.4,9999,9999,63.4,1.86707,1.8661,1.86564,1.86554,1.86737,1.86994,1.86856,1.86996,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.661,-0.1209,-1.34389139395809,-0.00341013826112031,7.03834037804736e-07,-1.32224133736951e-10,-0.120925268574536,0,0,0,16,2250,2,26,38550.3,38550.1,1.01196,2.20215,1.39648,2.30225,1.49536,2.30103,33.2887,15.892,18,512.306,540.747,33.4575,29.0214,30.0004,28.7906,28.6759,20.2565,12.1713,100,33.484,399.884,25.9916,100.553,100.406
3,NA,1655210058.5,10,2022-06-14 07:34:18,07:34:18,5,"tmpl.us_block1_plot1_schiz","stan",1655211632.39419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423.895676688331,425.380448484848,-0.753245090360255,66.1190884114043,0,26.0542789474617,26.3995375757576,3.09817289041883e-06,78.9274245476231,0,0,0,0,0,0,0,0,0,6,0.5,"0: Broadleaf",2,TRUE,1655211632.39419,419.555905308465,419.936649928264,26.4382635581062,25.5601058106169,422.223901004304,26.5590157101865,500.476289813487,99.3895005738881,0.0953248756097561,33.6817324246772,33.8070496413199,999.9,0,0,10000.4145839311,0,241.588556886657,-0.380763860114778,430.958218794835,430.95187733142,0.878157223816356,419.936649928264,25.5601058106169,2.62768513629842,2.54040895982783,21.8376224533716,21.2857338593974,2000.00099713056,0.980001333572453,0.0199989819942611,0,2.13123529411765,0,22328.8112482066,16749.4761836442,39.1943242467719,39.5675545193687,39.025843615495,38.8722847919656,38.9344899569584,1960.00419655667,39.9973170731707,0,1655210058.8,0,0,"--:--:--",1652897032.6,1652897049.6,0,1.119,-0.094,-0.487,-0.164,297,21,0.14,0.02,-0.437011648648648,-0.0055928577268409,19.7014353536664,1,0.879354955192034,0.00016017668216465,0.663557976038199,1,2,2,"2/2",2.97991,2.70616,0.102213,0.0990683,0.125295,0.121638,28382.9,28581.1,29398,29348.8,34068.7,34229.1,41422.6,41794.9,1.95522,2.01848,0.147086,0,31.583,999.9,72.8,28.5,28.6141,63.3504,32.52,1,0.121024,-1.63766,20.3736,5.21729,12.0099,4.9888,3.28823,3433.4,9999,9999,63.4,1.86707,1.86608,1.86566,1.86554,1.86737,1.86993,1.86856,1.86996,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.651,-0.1209,-1.34389139395809,-0.00341013826112031,7.03834037804736e-07,-1.32224133736951e-10,-0.120925268574536,0,0,0,16,2250,2,26,38550.4,38550.1,0.982666,2.20459,1.39648,2.30103,1.49536,2.3999,33.2887,15.9007,18,512.251,540.685,33.4888,29.0238,30.0004,28.7937,28.679,19.6656,12.1713,100,33.497,379.749,25.991,100.55,100.405
4,NA,1655210063.5,15,2022-06-14 07:34:23,07:34:23,5,"tmpl.us_block1_plot1_schiz","stan",1655211622.31397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.764322960146,416.489157575757,-1.9329157727525,66.1190884114043,0,26.0581409620951,26.4023406060606,7.6018236258816e-06,78.9274245476231,0,0,0,0,0,0,0,0,0,6,0.5,"0: Broadleaf",2,TRUE,1655211622.31397,419.490630791162,419.786789023521,26.4380262295082,25.5633024233785,422.158439059159,26.5587793300071,500.475722736992,99.3895784746971,0.0953552239486814,33.6807851746258,33.8080348538845,999.9,0,0,10000.3620313614,0,241.925131361368,-0.296176158945118,430.891013542409,430.7994212402,0.874723042765503,419.786789023521,25.5633024233785,2.62766359230221,2.54072869565217,21.8375019244476,21.2877818246614,2000.00054882395,0.980001354953671,0.0199989611546686,0,2.13142459016394,0,22229.1821168924,16749.4726300784,39.19628510335,39.5695267284391,39.0277241625089,38.8743036350677,38.9361097647897,1960.00379187455,39.9972701354241,0,1655210063.6,0,0,"--:--:--",1652897032.6,1652897049.6,0,1.119,-0.094,-0.487,-0.164,297,21,0.14,0.02,-0.367886943422913,-0.00563494643474437,19.6673857988929,1,0.876318051626591,0.00016203676342275,0.662901917534181,1,2,2,"2/2",2.97958,2.70637,0.100488,0.0960582,0.125307,0.121642,28437.4,28676.6,29398,29348.8,34068.3,34229,41422.6,41795,1.95513,2.01835,0.146624,0,31.5795,999.9,72.8,28.5,28.6136,63.4204,32.8846,1,0.121311,-1.68258,20.3732,5.21789,12.0099,4.9888,3.28823,3433.4,9999,9999,63.4,1.86707,1.86608,1.86565,1.86554,1.86737,1.86995,1.86857,1.86995,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.624,-0.1209,-1.34389139395809,-0.00341013826112031,7.03834037804736e-07,-1.32224133736951e-10,-0.120925268574536,0,0,0,16,2250,2,26,38550.5,38550.2,0.949707,2.20215,1.39648,2.30347,1.49536,2.41821,33.2887,15.892,18,512.211,540.624,33.515,29.0263,30.0005,28.7967,28.682,18.9662,12.4521,100,33.5239,366.369,25.9897,100.55,100.405
5,NA,1655210068.5,20,2022-06-14 07:34:28,07:34:28,5,"tmpl.us_block1_plot1_schiz","stan",1655211612.39412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392.14320192742,403.654709090909,-2.65672385114608,66.1190884114043,0,26.0586741251199,26.4039090909091,9.34271779892e-06,78.9274245476231,0,0,0,0,0,0,0,0,0,6,0.5,"0: Broadleaf",2,TRUE,1655211612.39412,419.355192634561,419.535427053824,26.4378134560907,25.5664002124646,422.022607648725,26.558567776204,500.475449716714,99.3896560906516,0.0953856544617564,33.679832082153,33.8089521954674,999.9,0,0,10000.3309206799,0,242.262847946176,-0.180252585694052,430.751752832861,430.542706090652,0.871412519121813,419.535427053824,25.5664002124646,2.62764450424929,2.54103859773371,21.8373964589235,21.2897672804533,2000.00054532578,0.980001380311615,0.0199989363314448,0,2.13173569405099,0,22130.9481444759,16749.4725212465,39.1982209631728,39.571473796034,39.0298484419263,38.8762967422096,38.9377089235127,1960.00383144476,39.997223796034,0,1655210069,0,0,"--:--:--",1652897032.6,1652897049.6,0,1.119,-0.094,-0.487,-0.164,297,21,0.14,0.02,-0.219684178120617,-0.00572542338659004,19.6508509374275,1,0.871909991584853,0.00016472911131467,0.661839476532223,1,2,2,"2/2",2.98015,2.70602,0.0980475,0.0928678,0.125304,0.121527,28514.8,28777.4,29398.2,29348.3,34068.3,34233,41422.6,41794.3,1.9554,2.01798,0.146694,0,31.5754,999.9,72.7,28.5,28.573,62.9804,31.879,1,0.121565,-1.71812,20.3726,5.21849,12.0099,4.9889,3.28842,3433.4,9999,9999,63.4,1.86707,1.86603,1.86567,1.86554,1.86737,1.86993,1.86857,1.86994,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.587,-0.1209,-1.34389139395809,-0.00341013826112031,7.03834037804736e-07,-1.32224133736951e-10,-0.120925268574536,0,0,0,16,2250,2,26,38550.6,38550.3,0.915527,2.20703,1.39648,2.30225,1.49536,2.37915,33.3111,15.892,18,512.417,540.382,33.5444,29.0288,30.0004,28.7998,28.685,18.3357,12.4521,100,33.5527,346.329,25.9898,100.551,100.403
6,NA,1655210073.5,25,2022-06-14 07:34:33,07:34:33,5,"tmpl.us_block1_plot1_schiz","stan",1655211602.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.032974347862,388.51056969697,-3.08125097554695,66.1190884114043,0,26.0077967165015,26.3817987878788,-3.33169583934156e-05,78.9274245476231,0,0,0,0,0,0,0,0,0,6,0.5,"0: Broadleaf",2,TRUE,1655211602.6316,419.13312104152,419.181837438424,26.4375259676284,25.5691718508093,421.799889514426,26.5582814919071,500.474534130894,99.3897400422238,0.0954142156931738,33.6788255453906,33.8097850809289,999.9,0,0,10000.4199225897,0,242.607856650246,-0.0487360668543285,430.523478536242,430.180902885292,0.868353490499648,419.181837438424,25.5691718508093,2.62761816326531,2.54131622800845,21.837245531316,21.291548557354,2000.00055594652,0.980001403237157,0.0199989139338494,0,2.1314057705841,0,22033.835981703,16749.472765658,39.2001323011963,39.5735707248417,39.0318571428571,38.8782646023927,38.939287825475,1960.00388458832,39.9971850809289,0,1655210073.8,0,0,"--:--:--",1652897032.6,1652897049.6,0,1.119,-0.094,-0.487,-0.164,297,21,0.14,0.02,-0.105127362622036,-0.00579530267552668,19.6555864062693,1,0.869212486750349,0.00016637095712711,0.660972703804182,1,2,2,"2/2",2.97971,2.70611,0.0951627,0.0895859,0.125231,0.121453,28605.6,28881.8,29397.8,29348.6,34070.9,34236.2,41422.3,41794.6,1.95532,2.01792,0.145514,0,31.5701,999.9,72.7,28.5,28.5712,63.1704,32.9968,1,0.121819,-1.75526,20.3724,5.21864,12.0099,4.9891,3.2885,3433.4,9999,9999,63.4,1.86707,1.86607,1.86563,1.86554,1.86737,1.86994,1.86857,1.86995,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.543,-0.1209,-1.34389139395809,-0.00341013826112031,7.03834037804736e-07,-1.32224133736951e-10,-0.120925268574536,0,0,0,16,2250,2,26,38550.7,38550.4,0.880127,2.20825,1.39648,2.30347,1.49536,2.39746,33.3111,15.892,18,512.394,540.374,33.5783,29.0317,30.0004,28.8029,28.6881,17.6266,12.4521,100,33.5865,332.971,25.9898,100.549,100.404
7,NA,1655210078.5,30,2022-06-14 07:34:38,07:34:38,5,"tmpl.us_block1_plot1_schiz","stan",1655211593.02343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.050953069883,372.509303030303,-3.22745302889695,66.1190884114043,0,25.9989323085778,26.3681527272727,-0.0013808002733373,78.9274245476231,0,0,0,0,0,0,0,0,0,6,0.5,"0: Broadleaf",2,TRUE,1655211593.02343,418.817515384615,418.728583916084,26.4371186013986,25.5718771328671,421.483362937063,26.5578751048951,500.473818881119,99.3898203496504,0.0954425555244755,33.6777692307692,33.8105448951049,999.9,0,0,10000.4185384615,0,242.946715594406,0.0889113629370626,430.19908951049,429.716746853147,0.865240762237762,418.728583916084,25.5718771328671,2.62757979020979,2.54158718181818,21.8370192307692,21.2932872727273,2000.00056643357,0.980001427972028,0.0199988897202797,0,2.1309406993007,0,21937.8700909091,16749.4729370629,39.2021062937063,39.5757713286713,39.0340167832168,38.8802076923077,38.9408468531469,1960.00393706294,39.9971398601399,0,1655210078.6,0,0,"--:--:--",1652897032.6,1652897049.6,0,1.119,-0.094,-0.487,-0.164,297,21,0.14,0.02,0.0755824080221301,-0.00590531315581043,19.6733131296253,1,0.865120654218534,0.00016885563939616,0.659742624556281,1,2,2,"2/2",2.97975,2.7061,0.0920647,0.0862565,0.12519,0.121454,28703.3,28987.4,29397.6,29348.6,34072,34236.2,41421.7,41794.8,1.9552,2.0177,0.146501,0,31.5615,999.9,72.7,28.5,28.5733,63.1804,32.484,1,0.122236,-1.82086,20.3718,5.21774,12.0099,4.98885,3.28845,3433.4,9999,9999,63.4,1.86707,1.86612,1.86564,1.86554,1.86736,1.86992,1.86858,1.86996,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.498,-0.1209,-1.34389139395809,-0.00341013826112031,7.03834037804736e-07,-1.32224133736951e-10,-0.120925268574536,0,0,0,16,2250,2,26,38550.8,38550.5,0.848389,2.20093,1.39648,2.30225,1.49536,2.44751,33.3111,15.892,18,512.338,540.246,33.6189,29.0342,30.0004,28.8059,28.6917,16.9879,12.4521,100,33.6308,312.912,25.9898,100.548,100.404
8,NA,1655210083.5,35,2022-06-14 07:34:43,07:34:43,5,"tmpl.us_block1_plot1_schiz","stan",1655211583.56671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.014589387489,356.049078787879,-3.30222419599977,66.1190884114043,0,26.0002611427233,26.3642503030303,-0.00014039899781764,78.9274245476231,0,0,0,0,0,0,0,0,0,6,0.5,"0: Broadleaf",2,TRUE,1655211583.56671,418.406486448923,418.177214037526,26.4366680333565,25.5745582348853,421.071132036136,26.5574255733148,500.473102154274,99.3899072967338,0.0954710677553857,33.6767603196664,33.8112983321751,999.9,0,0,10000.4067963864,0,243.267615913829,0.229253473940236,429.776679638638,429.151845031272,0.862109076441974,418.177214037526,25.5745582348853,2.62753730368311,2.54185589993051,21.8367670604587,21.2950116052814,2000.00054899236,0.980001452397498,0.01999886580959,0,2.1306000694927,0,21843.1415774844,16749.4728978457,39.2039694232106,39.5780305767894,39.036149409312,38.8821264767199,38.9423863794302,1960.00396108409,39.9970952050035,0,1655210083.4,0,0,"--:--:--",1652897032.6,1652897049.6,0,1.119,-0.094,-0.487,-0.164,297,21,0.14,0.02,0.19865822696011,-0.0059800640797227,19.6887729633927,1,0.862370182943604,0.00017052182808059,0.658963506279884,1,2,2,"2/2",2.98003,2.70631,0.0888255,0.0828477,0.125177,0.121458,28805.8,29095.6,29397.7,29348.6,34072.8,34235.9,41422,41794.7,1.95513,2.01747,0.147078,0,31.5504,999.9,72.7,28.5,28.5728,62.8604,31.9631,1,0.122495,-1.87362,20.3714,5.21804,12.0099,4.98895,3.28823,3433.4,9999,9999,63.4,1.86707,1.86611,1.86563,1.86554,1.86737,1.86993,1.86856,1.86996,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.449,-0.1209,-1.34389139395809,-0.00341013826112031,7.03834037804736e-07,-1.32224133736951e-10,-0.120925268574536,0,0,0,16,2250,2,26,38550.8,38550.6,0.811768,2.2168,1.39648,2.30347,1.49536,2.19238,33.3111,15.8832,18,512.315,540.112,33.6671,29.0373,30.0004,28.809,28.6947,16.2648,12.4521,100,33.6786,299.552,25.9898,100.549,100.404
9,NA,1655210088.5,40,2022-06-14 07:34:48,07:34:48,5,"tmpl.us_block1_plot1_schiz","stan",1655211574.25863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.002319518943,339.310721212121,-3.34925610940689,66.1190884114043,0,26.0010767878043,26.3660406060606,9.17675836795747e-05,78.9274245476231,0,0,0,0,0,0,0,0,0,6,0.5,"0: Broadleaf",2,TRUE,1655211574.25863,417.899812154696,417.529673342541,26.436221961326,25.577211878453,420.562968922652,26.5569805248619,500.472590469613,99.3899841850829,0.0954990796961326,33.6757997928177,33.8120312154696,999.9,0,0,10000.4408701657,0,243.607284046961,0.370119578038673,429.256035220994,428.488192679558,0.859009279696133,417.529673342541,25.577211878453,2.62749499309392,2.54212162983425,21.8365158839779,21.2967166436464,2000.00059392265,0.980001472375691,0.019998846339779,0,2.13006609116022,0,21750.2149585635,16749.4733425414,39.2058093922652,39.5801761049724,39.0382555248619,38.8840214088398,38.9439067679558,1960.00404696133,39.9970649171271,0,1655210088.8,0,0,"--:--:--",1652897032.6,1652897049.6,0,1.119,-0.094,-0.487,-0.164,297,21,0.14,0.02,0.35318774726776,-0.00607370745974673,19.7096934981105,1,0.858960900273224,0.00017258225590606,0.657994564349773,1,2,2,"2/2",2.98006,2.70607,0.0854675,0.0793594,0.12518,0.121458,28912.3,29206.1,29398,29348.5,34072.8,34235.8,41422.2,41794.6,1.95505,2.01745,0.147313,0,31.5431,999.9,72.7,28.5,28.5727,63.0204,31.7869,1,0.122797,-1.91097,20.371,5.21729,12.0099,4.9884,3.2883,3433.4,9999,9999,63.4,1.86707,1.86609,1.86563,1.86554,1.86736,1.86993,1.86857,1.86996,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.401,-0.1209,-1.34389139395809,-0.00341013826112031,7.03834037804736e-07,-1.32224133736951e-10,-0.120925268574536,0,0,0,16,2250,2,26,38550.9,38550.6,0.780029,2.22534,1.39648,2.30225,1.49536,2.20215,33.3111,15.8832,18,512.292,540.128,33.7175,29.0398,30.0005,28.812,28.6984,15.6195,12.4521,100,33.7268,286.193,25.9898,100.55,100.404
10,NA,1655210093.5,45,2022-06-14 07:34:53,07:34:53,5,"tmpl.us_block1_plot1_schiz","stan",1655211565.09643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.920496796288,322.453327272727,-3.37682702020477,66.1190884114043,0,26.0029164457381,26.3659327272727,-8.28128563369643e-05,78.9274245476231,0,0,0,0,0,0,0,0,0,6,0.5,"0: Broadleaf",2,TRUE,1655211565.09643,417.298354152368,416.787328757721,26.4357830473576,25.5798455730954,419.959737817433,26.5565426904598,500.471794783802,99.3900682910089,0.0955273131777625,33.6748719286204,33.812795813315,999.9,0,0,10000.4252573782,0,243.951179341112,0.511006553877831,428.638043925875,427.727194234729,0.855936762525738,416.787328757721,25.5798455730954,2.62745360329444,2.54238555936857,21.8362702814001,21.2984099519561,2000.00033630748,0.980001494166095,0.0199988250514756,0,2.13071914893617,0,21658.0914893617,16749.4713109128,39.2076266300618,39.5823802333562,39.0403356211393,38.8861523678792,38.9454948524365,1960.00382978723,39.9970212765958,0,1655210093.6,0,0,"--:--:--",1652897032.6,1652897049.6,0,1.119,-0.094,-0.487,-0.164,297,21,0.14,0.02,0.507582810040705,-0.00616702865743924,19.7313564400205,1,0.855592117367707,0.00017461278079229,0.657024361489284,1,2,2,"2/2",2.98035,2.70626,0.0820161,0.0757815,0.125184,0.121472,29020.7,29319.3,29397.3,29348.1,34071.9,34235,41421.4,41794.4,1.9554,2.01697,0.148378,0,31.5376,999.9,72.7,28.5,28.574,63.3004,31.6787,1,0.123148,-1.94602,20.3707,5.21744,12.0099,4.9883,3.28828,3433.4,9999,9999,63.4,1.86707,1.86608,1.86565,1.86554,1.86737,1.86992,1.86856,1.86995,0,0,0,0,"00000000","iiiiiiii","off","off","off","off",0,100,100,-2.352,-0.1209,-1.34389139395809,-0.00341013826112031,7.03834037804736e-07,-1.32224133736951e-10,-0.120925268574536,0,0,0,16,2250,2,26,38551,38550.7,0.74707,2.22412,1.39648,2.30225,1.49536,2.32788,33.3335,15.892,18,512.552,539.814,33.7681,29.0429,30.0005,28.8157,28.7014,14.8909,12.4521,100,33.7764,266.155,25.9898,100.548,100.403
